id,user_id,amount,transaction_type,origin_balance_before,origin_balance_after,location_country,is_fraud_ground_truth,occurred_at
T0028030,C100002965,601.28,PAYMENT,2661.16,2059.88,US,False,2024-06-01 01:00:00
T0021899,C100002319,1212.88,TRANSFER,13628.34,12415.46,DE,False,2024-06-01 01:00:00
T0024191,C100002556,101.11,TRANSFER,1290.48,1189.37,GB,False,2024-06-01 01:00:00
T0008446,C100000906,322.92,CASH_IN,2316.29,2639.21,SG,False,2024-06-01 03:00:00
T0015369,C100001643,145.59,PAYMENT,694.97,549.38,US,False,2024-06-01 03:00:00
T0020753,C100002200,63.17,CASH_OUT,230.93,167.76,IN,False,2024-06-01 03:00:00
T0015733,C100001682,1087.65,CASH_OUT,7528.86,6441.21,NG,False,2024-06-01 03:00:00
T0007062,C100000762,223.6,CASH_IN,1229.41,1453.01,BR,False,2024-06-01 03:00:00
T0021900,C100002319,1595.03,CASH_OUT,12415.46,10820.43,DE,False,2024-06-01 04:00:00
T0016554,C100001764,137.8,CASH_OUT,2876.8,2739.0,IN,False,2024-06-01 05:00:00
T0015814,C100001690,725.06,TRANSFER,6709.6,5984.54,GB,False,2024-06-01 06:00:00
T0014366,C100001535,981.77,CASH_IN,25962.68,26944.45,BR,False,2024-06-01 06:00:00
T0006382,C100000686,221.87,CASH_IN,1749.93,1971.8,GB,False,2024-06-01 07:00:00
T0024795,C100002618,113.58,PAYMENT,1967.64,1854.06,CA,False,2024-06-01 07:00:00
T0010660,C100001137,125.08,CASH_OUT,1722.95,1597.87,DE,False,2024-06-01 07:00:00
T0008447,C100000906,152.74,CASH_OUT,2639.21,2486.47,SG,False,2024-06-01 07:00:00
T0020251,C100002147,99.86,CASH_OUT,837.26,737.4,AU,False,2024-06-01 07:00:00
T0012234,C100001309,62.84,PAYMENT,1117.39,1054.55,NG,False,2024-06-01 08:00:00
T0011829,C100001265,36.91,CASH_OUT,170.59,133.68,CA,False,2024-06-01 09:00:00
T0028455,C100002978,385.98,TRANSFER,1867.14,1481.16,IN,True,2024-06-01 09:00:00
T0028491,C100000734,173.9,TRANSFER,806.72,632.82,AU,True,2024-06-01 09:00:00
T0008155,C100000879,114.23,PAYMENT,1506.77,1392.54,US,False,2024-06-01 09:00:00
T0015815,C100001690,739.62,PAYMENT,5984.54,5244.92,US,False,2024-06-01 09:00:00
T0028651,C100000580,969.71,TRANSFER,3898.99,2929.28,NG,True,2024-06-01 10:00:00
T0024482,C100002585,493.77,CASH_OUT,4335.86,3842.09,SG,False,2024-06-01 10:00:00
T0007063,C100000762,78.97,TRANSFER,1453.01,1374.04,BR,False,2024-06-01 10:00:00
T0021901,C100002319,2856.78,PAYMENT,10820.43,7963.65,DE,False,2024-06-01 10:00:00
T0021928,C100002322,145.47,PAYMENT,387.25,241.78,GB,False,2024-06-01 11:00:00
T0026669,C100002819,414.01,PAYMENT,6709.48,6295.47,BR,False,2024-06-01 11:00:00
