user_id,account_created,home_country,typical_transaction_amount,travel_frequency
C100000000,2023-07-28,SG,703.72,rare
C100000001,2020-11-21,NG,114.98,never
C100000002,2021-05-10,CA,15.81,never
C100000003,2022-03-15,CA,41.81,frequent
C100000004,2022-03-23,SG,1013.97,never
C100000005,2020-07-23,FR,163.82,never
C100000006,2023-08-02,BR,115.5,rare
C100000007,2021-03-10,IN,1264.79,never
C100000008,2023-02-17,NG,867.1,never
C100000009,2023-07-21,AU,250.75,rare
C100000010,2021-11-10,FR,182.47,never
C100000011,2020-02-06,BR,214.41,never
C100000012,2021-01-14,US,307.1,never
C100000013,2020-12-09,SG,1212.02,rare
C100000014,2021-02-10,IN,373.33,never
C100000015,2020-11-03,IN,505.74,never
C100000016,2021-11-29,BR,787.82,rare
C100000017,2023-06-02,DE,75.97,rare
C100000018,2020-08-19,BR,520.54,frequent
C100000019,2022-02-26,SG,182.26,never
C100000020,2021-12-17,FR,19.76,never
C100000021,2022-06-20,GB,29.13,rare
C100000022,2023-03-16,FR,88.4,rare
C100000023,2020-04-16,GB,416.22,never
C100000024,2020-11-10,FR,274.18,rare
C100000025,2021-05-26,NG,294.23,never
C100000026,2022-05-06,GB,1721.49,rare
C100000027,2020-09-12,SG,68.78,rare
C100000028,2021-10-14,DE,238.07,never
C100000029,2022-03-08,AU,331.77,frequent
C100000030,2022-02-26,SG,117.18,frequent
C100000031,2023-01-12,DE,251.72,never
C100000032,2023-07-24,BR,49.4,never
C100000033,2021-09-30,GB,1002.15,rare
C100000034,2020-06-11,US,123.77,never
C100000035,2023-09-02,CA,1865.72,never
C100000036,2020-07-23,AU,236.87,never
C100000037,2020-09-05,GB,684.07,frequent
C100000038,2022-11-02,DE,231.99,never
C100000039,2021-06-12,GB,237.28,rare
C100000040,2023-04-10,FR,136.45,never
C100000041,2020-12-13,DE,275.65,never
C100000042,2021-03-06,FR,336.3,frequent
C100000043,2022-07-14,BR,111.69,never
C100000044,2023-08-27,GB,215.93,never
C100000045,2020-02-13,AU,132.94,never
C100000046,2022-03-05,SG,2439.78,rare
C100000047,2020-06-03,SG,223.69,never
C100000048,2021-04-07,GB,1147.38,never
C100000049,2020-11-14,SG,201.22,never
C100000050,2020-12-11,AU,317.12,never
C100000051,2023-02-27,GB,65.28,never
C100000052,2022-06-30,SG,156.48,rare
C100000053,2022-02-03,FR,302.03,never
C100000054,2021-12-21,SG,1195.12,never
C100000055,2023-10-01,IN,305.51,rare
C100000056,2021-10-12,AU,976.25,rare
C100000057,2023-04-26,GB,464.39,never
C100000058,2021-01-03,FR,1245.64,never
C100000059,2021-03-31,DE,230.66,never
C100000060,2020-04-22,DE,2671.04,frequent
C100000061,2021-01-01,FR,150.6,never
C100000062,2022-06-26,FR,113.7,never
